 #Kpoint 
            4            4  (4.9306901280938978E-004,0.000000000000000)
            5            1  (-0.3339555706457668,0.000000000000000)
            5            2  (-1.8036148499419907E-002,0.000000000000000)
            5            3  (-1.3995885970180015E-004,0.000000000000000)
            5            4  (9.0207316786053940E-002,0.000000000000000)
            6            1  (-0.3311710637553418,0.000000000000000)
            6            2  (-1.6466931537550050E-002,0.000000000000000)
            6            3  (-1.1179601619015609E-004,0.000000000000000)
            6            4  (-9.1557765060384044E-002,0.000000000000000)
            7            1  (3.3982305331804676E-004,0.000000000000000)
            8            1  (3.8321217454305424E-002,0.000000000000000)
            9            1  (3.7977505234973653E-002,0.000000000000000)
           10            1  (-3.8280732090160932E-002,0.000000000000000)
           11            1  (-3.7970059935333922E-002,0.000000000000000)
           12            1  (-3.2670728026401748E-004,0.000000000000000)
            4  -0.6580711693908218     
            1            1  (-0.3368328910733109,0.000000000000000)
            1            2  (-4.3256223198793325E-003,0.000000000000000)
            1            3  (-1.5811660103637776E-004,0.000000000000000)
            1            4  (4.9772193799351959E-002,0.000000000000000)
            2            1  (0.1638037290962869,0.000000000000000)
            2            2  (0.1424579699381406,0.000000000000000)
            2            3  (9.8522462407134287E-005,0.000000000000000)
            2            4  (0.1991115614422661,0.000000000000000)
            3            1  (0.1727930909737766,0.000000000000000)
            3            2  (0.1411491385009959,0.000000000000000)
            3            3  (1.0297782096739341E-004,0.000000000000000)
            3            4  (-0.1947952653689169,0.000000000000000)
            4            1  (-0.3364617817047449,0.000000000000000)
            4            2  (4.4497866513533643E-003,0.000000000000000)
            4            3  (-1.7274408888845119E-004,0.000000000000000)
            4            4  (-4.9852947855266186E-002,0.000000000000000)
            5            1  (0.1635835076949103,0.000000000000000)
            5            2  (-0.1416008826957347,0.000000000000000)
            5            3  (1.2746508812942330E-004,0.000000000000000)
            5            4  (-0.1994373339967904,0.000000000000000)
            6            1  (0.1731749584034847,0.000000000000000)
            6            2  (-0.1410947855909606,0.000000000000000)
            6            3  (1.0681330894800250E-004,0.000000000000000)
            6            4  (0.1946899447251929,0.000000000000000)
            7            1  (-8.5363580111990009E-002,0.000000000000000)
            8            1  (4.1341757197679220E-002,0.000000000000000)
            9            1  (4.3566239788039966E-002,0.000000000000000)
           10            1  (4.1212955914614477E-002,0.000000000000000)
           11            1  (4.3739277204144784E-002,0.000000000000000)
           12            1  (-8.5269774889747033E-002,0.000000000000000)
            5  -0.6578565896192610     
            1            1  (-5.2449636810203652E-003,0.000000000000000)
            1            2  (0.2787226557504799,0.000000000000000)
            1            3  (1.7081190751184899E-005,0.000000000000000)
            1            4  (7.9761047157934082E-004,0.000000000000000)
            2            1  (0.2941800129893445,0.000000000000000)
            2            2  (-3.0567806730881317E-002,0.000000000000000)
            2            3  (1.5866895473242142E-004,0.000000000000000)
            2            4  (-0.1389333647611490,0.000000000000000)
            3            1  (-0.2889624917926955,0.000000000000000)
            3            2  (3.5176472977924415E-002,0.000000000000000)
            3            3  (-1.4738072650223488E-004,0.000000000000000)
            3            4  (-0.1456695590285514,0.000000000000000)
            4            1  (-5.4941392839196390E-003,0.000000000000000)
            4            2  (-0.2790237679136766,0.000000000000000)
            4            3  (-3.4954836624753184E-005,0.000000000000000)
            4            4  (-8.9525859604108011E-004,0.000000000000000)
            5            1  (0.2942732144819362,0.000000000000000)
            5            2  (3.0903877499161091E-002,0.000000000000000)
            5            3  (1.4442513607967620E-004,0.000000000000000)
            5            4  (0.1394092069706580,0.000000000000000)
            6            1  (-0.2887676809683504,0.000000000000000)
            6            2  (-3.5251375801710623E-002,0.000000000000000)
            6            3  (-1.2747753831266785E-004,0.000000000000000)
            6            4  (0.1451221641500801,0.000000000000000)
            7            1  (-1.3550171758446282E-003,0.000000000000000)
            8            1  (7.4224703857999688E-002,0.000000000000000)
            9            1  (-7.2937599588614066E-002,0.000000000000000)
           10            1  (7.4188781844340482E-002,0.000000000000000)
           11            1  (-7.2782439070405741E-002,0.000000000000000)
           12            1  (-1.3648752691373417E-003,0.000000000000000)
            6  -0.5743597985692784     
            1            1  (0.1076603940547789,0.000000000000000)
            1            2  (-3.7720477869724129E-005,0.000000000000000)
            1            3  (-4.1687979371533127E-005,0.000000000000000)
            1            4  (-0.2537754463401332,0.000000000000000)
            2            1  (0.1081488429731358,0.000000000000000)
            2            2  (0.2205040212835395,0.000000000000000)
            2            3  (-4.2664316072022901E-005,0.000000000000000)
            2            4  (-0.1256479909881832,0.000000000000000)
            3            1  (0.1078122785867999,0.000000000000000)
            3            2  (0.2203895426286099,0.000000000000000)
            3            3  (-4.3983731651485961E-005,0.000000000000000)
            3            4  (0.1258102693893341,0.000000000000000)
            4            1  (0.1075339524205362,0.000000000000000)
            4            2  (-1.4515493542253258E-004,0.000000000000000)
            4            3  (-4.4576420178132008E-005,0.000000000000000)
            4            4  (0.2542521668760182,0.000000000000000)
            5            1  (0.1080483561151631,0.000000000000000)
            5            2  (-0.2197740882257327,0.000000000000000)
            5            3  (1.0753626196851347E-005,0.000000000000000)
            5            4  (0.1259533207967193,0.000000000000000)
            6            1  (0.1083392942871529,0.000000000000000)
            6            2  (-0.2200616283245382,0.000000000000000)
            6            3  (-2.8958848183005661E-006,0.000000000000000)
            6            4  (-0.1257846018013646,0.000000000000000)
            7            1  (9.9608248590301429E-002,0.000000000000000)
            8            1  (9.9228114080825297E-002,0.000000000000000)
            9            1  (9.9087990158332404E-002,0.000000000000000)
           10            1  (9.9170017180325240E-002,0.000000000000000)
           11            1  (9.9354753804065027E-002,0.000000000000000)
           12            1  (9.9670209946679217E-002,0.000000000000000)
            7  -0.5429488967183885     
            1            1  (-3.0170244428796719E-004,0.000000000000000)
            1            2  (0.3577491195467795,0.000000000000000)
            1            3  (4.1755917435875834E-005,0.000000000000000)
            1            4  (-6.3549761138858019E-006,0.000000000000000)
            2            1  (6.9622399197802668E-004,0.000000000000000)
            2            2  (-0.1785854636986919,0.000000000000000)
            2            3  (-1.6484223380177349E-005,0.000000000000000)
            2            4  (-0.3100640515346187,0.000000000000000)
            3            1  (-1.5657694785346259E-004,0.000000000000000)
            3            2  (-0.1784709218140027,0.000000000000000)
            3            3  (-1.6452511997634842E-005,0.000000000000000)
            3            4  (0.3098715657364345,0.000000000000000)
            4            1  (1.8311185542898488E-004,0.000000000000000)
            4            2  (0.3567481750286526,0.000000000000000)
            4            3  (5.9649897544885817E-005,0.000000000000000)
            4            4  (3.5347200030283026E-004,0.000000000000000)
            5            1  (-2.6000507097550320E-004,0.000000000000000)
            5            2  (-0.1779824436839313,0.000000000000000)
            5            3  (8.3358177738958707E-005,0.000000000000000)
            5            4  (-0.3100614482856062,0.000000000000000)
            6            1  (-1.3180700576838941E-004,0.000000000000000)
            6            2  (-0.1790644028815063,0.000000000000000)
            6            3  (6.7013069863884389E-005,0.000000000000000)
            6            4  (0.3097630033062829,0.000000000000000)
            7            1  (-1.9138007152417881E-004,0.000000000000000)
