^C         21877593 function calls (21875643 primitive calls) in 87.336 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _onenormest.py:2(<module>)
        1    0.004    0.004    0.227    0.227 _peak_finding.py:3(<module>)
        1    0.000    0.000    0.001    0.001 _plotutils.py:1(<module>)
        1    0.001    0.001    1.229    1.229 _polygon.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:14(Gcf)
        1    0.001    0.001    0.001    0.001 _pylab_helpers.py:3(<module>)
        1    0.014    0.014    0.024    0.024 _regionprops.py:2(<module>)
        1    0.000    0.000    0.002    0.002 _regionprops.py:589(_parse_docs)
       37    0.000    0.000    0.001    0.000 _regionprops.py:596(<genexpr>)
        1    0.000    0.000    0.003    0.003 _regionprops.py:601(_install_properties_docs)
       13    0.000    0.000    0.000    0.000 _regionprops.py:64(_cached)
       22    0.000    0.000    0.002    0.000 _regionprops.py:78(only2d)
        1    0.000    0.000    0.002    0.002 _regionprops.py:88(_RegionProperties)
        1    0.000    0.000    0.000    0.000 _regular_grid.py:1(<module>)
        1    0.027    0.027    0.385    0.385 _root.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _structural_similarity.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _support.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion.py:14(BaseQuadraticSubproblem)
        1    0.003    0.003    0.003    0.003 _trustregion_dogleg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:29(DoglegSubproblem)
        1    0.000    0.000    0.000    0.000 _trustregion_ncg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion_ncg.py:33(CGSteihaugSubproblem)
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _util.py:22(deferred_error)
        4    0.000    0.000    0.000    0.000 _util.py:23(__init__)
        1    0.000    0.000    0.000    0.000 _util.py:5(DeprecatedImport)
        1    0.004    0.004    0.004    0.004 _validation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _warnings.py:1(<module>)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       53    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       41    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       81    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       14    0.000    0.000    0.001    0.000 abc.py:105(register)
       31    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
    20/16    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       37    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
       13    0.000    0.000    0.002    0.000 abc.py:86(__new__)
       54    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.001    0.001    0.479    0.479 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 afm.py:335(AFM)
        1    0.016    0.016    0.017    0.017 afm.py:34(<module>)
        1    0.000    0.000    0.000    0.000 anneal.py:120(cauchy_sa)
        1    0.000    0.000    0.000    0.000 anneal.py:134(boltzmann_sa)
        1    0.000    0.000    0.000    0.000 anneal.py:150(_state)
        1    0.000    0.000    0.000    0.000 anneal.py:18(base_schedule)
        1    0.000    0.000    0.000    0.000 anneal.py:4(<module>)
        1    0.000    0.000    0.000    0.000 anneal.py:96(fast_sa)
        1    0.002    0.002    0.024    0.024 apply_parallel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arpack.py:276(ArpackError)
        1    0.000    0.000    0.000    0.000 arpack.py:285(ArpackNoConvergence)
        1    0.000    0.000    0.000    0.000 arpack.py:303(_ArpackParams)
        1    0.000    0.000    0.000    0.000 arpack.py:372(_SymmetricArpackParams)
        1    0.000    0.000    0.000    0.000 arpack.py:589(_UnsymmetricArpackParams)
        1    0.006    0.006    0.006    0.006 arpack.py:7(<module>)
        1    0.000    0.000    0.000    0.000 arpack.py:891(SpLuInv)
        1    0.000    0.000    0.000    0.000 arpack.py:912(LuInv)
        1    0.000    0.000    0.000    0.000 arpack.py:926(IterInv)
        1    0.000    0.000    0.000    0.000 arpack.py:956(IterOpInv)
        1    0.000    0.000    0.000    0.000 array_printer.py:1(<module>)
        2    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.015    0.015    0.015    0.015 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:532(FloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:638(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:658(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:688(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:699(ComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:715(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:743(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:21(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 art3d.py:154(Line3DCollection)
        1    0.000    0.000    0.000    0.000 art3d.py:203(Patch3D)
